municipio,categoria_zona,es_ruido,fecha_publicacion,titulo,url,tags,keywords_match,fragmento
Avellaneda,objetivo,no,21/03/2025,Ordenanza Nº31032 en el boletín 107º de Avellaneda,https://sibom.slyt.gba.gob.ar/bulletins/12434/contents/2190701,modificacion de la ordenanza 30.944,recapado,"VISTO: El Expediente 3-0-52783/2024 y cuerpo I; y CONSIDERANDO: Que vienen a consideración de este Cuerpo Deliberativo l proyecto ... […] , recapado , etc . 0,007 ..."
Coronel Suárez,volumen_alto,no,07/02/2025,Decreto Nº2953/2024 en el boletín 146º de Coronel Suárez,https://sibom.slyt.gba.gob.ar/bulletins/12145/contents/2170277,,gomeria,"la nota presentada a ésta Comuna por el Sr. GARCIA ARIEL OMAR, por la que solicita autorización para habilitar un negocio bajo el rubro de REPARACIÓN DE CÁMARAS Y CUBIERTAS - GOMERÍA , y atento a los informes producidos por las oficinas respectivas, ... […] - - - - - 20-29749947-6, a poner en funcionamiento un local comercial bajo el rubro de: REPARACIÓN DE CÁMARAS Y CUBIERTAS - GOMERÍA , ubicado ... […] el Intendente Municipal del Partido en uso de sus atribuciones- D E C R E T ..."
Mercedes,volumen_alto,no,16/01/2025,Decreto Nº2199/2024 en el boletín 87º de Mercedes,https://sibom.slyt.gba.gob.ar/bulletins/11962/contents/2157298,adjudicacion | licitacion privada 42,"cubierta,cubiertas","Folios n° 2774/2775, con el objeto de lograr la compra de cubiertas destinadas a abastecer al depósito dependiente del área. Que, habiéndose previsto como fecha de apertura de sobres del llamado para el día 27/11/2024 ... […] Lo actuado en el EX-2024-00034632 caratulado como “Licitación Privada n° 42/2024 Adquisición de cubiertas ”, y ... […] seiscientos con 00/100 centavos), la compra de cubiertas , según las especificaciones técnicas contenidas en el pliego de bases y condiciones, específicamente ..."
Saladillo,volumen_alto,no,16/01/2025,Decreto Nº2006/2024 en el boletín 109º de Saladillo,https://sibom.slyt.gba.gob.ar/bulletins/11974/contents/2165223,,gomeria,"y de la cual surge lo siguiente: La firma Cetaro Cecilia Nora, cotiza todos los ítems por la suma total de $ 15.949.200,00; La firma Nuevas Gomerías Palermo S.R.L., cotiza ... […] de evaluar las ofertas se observa que en cuanto a los ítems 1, 3 (en oferta alternativa), y 5, la firma Nueva Gomería Palermo S.R.L., presenta las mejores ofertas; mientras que la firma Almeira Claudio Oscar, lo hace en los ítems 2 y 4 ... […] del Director de Mantenimiento del Parque Automotor, se desprende que las ofertas presentadas por las firmas Nueva Gomería Palermos S.R.L. para los ítems 1, 3 (en oferta alterna"
Coronel Pringles,volumen_alto,no,03/01/2025,Decreto Nº1650/24 en el boletín 224º de Coronel Pringles,https://sibom.slyt.gba.gob.ar/bulletins/11929/contents/2152210,,gomeria,"Que a fs. 01 solicita la baja de dicho comercio a partir del 21/10/24; Que a fs. 02 luce informe del área de Recaudación, manifestando que el requirente no adeuda importe alguno ... […] el Expediente 2.327/2024, mediante el cual la Sra. María Cristina Pipo comunica el cese de actividades del comercio habilitado a nombre de su padre (fallecido) en el rubro “METALÚRGICA - GOMERÍA ” , ubicado en calle MORENO (47) N° 871 de esta localidad; y ... […] en el rubro “METALÚRGICA - GOMERÍA ” , ubicado en calle MORENO (47) N° 871 de esta localidad , propiedad del Sr. PIPO Eduardo, fallecido, según consta"
Mercedes,volumen_alto,no,11/12/2024,Decreto Nº2024/2024 en el boletín 85º de Mercedes,https://sibom.slyt.gba.gob.ar/bulletins/11789/contents/2142643,llamado licitacion 6 | privada 42,"cubierta,cubiertas","Que la Solicitud de Pedido en cuestión trata sobre la necesidad de proveer a la Subsecretaría de Servicios Públicos de un stock mínimo de cubiertas para vehículos, que le permitan cubrir los requerimientos operativos ... […] 1 7 CUBIERTA 12-16.5 CON TACO ... […] 6 CUBIERTA 17.5.25 CON TACO L2/G2 (para Motoniveladora ..."
Coronel Rosales,volumen_alto,no,10/12/2024,Ordenanza Nº4366 en el boletín 46º de Coronel Rosales,https://sibom.slyt.gba.gob.ar/bulletins/11720/contents/2141507,modifica ordenanza 3591 remises,recapado,"superior a 1,2 mm en unidades de peso inferior a 1.500 Kg y superior a 1,5 mm en unidades de peso igual o mayor al antes indicado. No podrán estar equipados con cubiertas reconstruidas o recapadas . f ..."
Campana,objetivo,no,05/12/2024,Resolución Nº2759/24 en el boletín 399º de Campana,https://sibom.slyt.gba.gob.ar/bulletins/11812/contents/2143455,,camaras y llantas,", y con concentración y destreza realizar ciertas acrobacias con ella. Así se han creado distintos actos: ' Burnout ', que consiste en quemar la llanta trasera; ' Wheelie ' o 'Caballito' , donde se levanta la rueda delantera mientras ... […] la moto va en movimiento; 'Escorpión', en la que el piloto pone la pierna en la parte trasera y levanta la moto hacia adelante; 'Pique', donde se sostiene la moto con la llanta trasera; entre muchos otros ... […] Las acrobacias que realizan los jóvenes que utilizan bicicletas o motocicletas ..."
Bahia Blanca,volumen_alto,no,11/11/2024,Resolución Nº124 en el boletín 377º de Bahia Blanca,https://sibom.slyt.gba.gob.ar/bulletins/11648/contents/2131581,,"recapado,recauchutaje","Visto las presentes actuaciones mediante las cuales se tramita la solicitud de cambio de razón social para la actividad “ recapado de cubiertas” que se desarrolla en el inmueble sito en calle Francia Nº 124 de esta ciudad ... […] a través de los años y no solo implicarían el rubro “ recapado de cubiertas”, sino reparación de amortiguadores, alineación y balanceo, y la reparación de vehículos de gran porte como camiones y colectivos (Acta de Inspección 35862, fs. 712 ... […] y balanceo para autos y camionetas..."" ""...Las actividades: "" Recapado de cubiertas y su venta"", según el cuadro Nº 2 (Cl"
Bahia Blanca,volumen_alto,no,24/10/2024,Resolución Nº345 en el boletín 370º de Bahia Blanca,https://sibom.slyt.gba.gob.ar/bulletins/11555/contents/2125555,,camaras y llantas,"se me mete en una alcantarilla que esta hundida, se me detiene el vehículo, cuando bajo a ver que era, ahí mismo me di cuenta que se le había hecho una teta a la rueda, doblo la llanta , me fui a una gomería para saber que pasó y si había pinchado, el gomero ... […] que fuera ofrecida, Sra. Geraldine Aldana Blanchini. Al respecto expresamente refirió: ""... doblamos en calle 9 de julio y Vérez, y al estar la tapa del desagote profunda y agarrarla con el vehículo rompimos el neumático y la llanta ... […] ..."". Que, los hechos narrados por la reclamante indican como generador del acontecimiento s"
